TranDate,Account,Department,Amount
02/03/2008,61550,150,($120.17)
02/03/2008,61560,150,($1.87)
02/03/2008,61570,150,($154.16)
02/03/2008,62010,150,($633.92)
02/03/2008,62020,150,($570.86)
02/03/2008,62099,150,$24.80 
02/03/2008,62510,120,($81.41)
02/03/2008,62520,120,($23.73)
02/03/2008,62530,120,($11.44)
02/03/2008,62550,120,($24.25)
02/03/2008,62560,120,($0.35)
02/03/2008,63050,150,($78.08)
02/03/2008,63060,150,$3.22 
02/03/2008,64000,150,$276.97 
02/03/2008,64010,150,$75.17 
02/03/2008,64020,150,$6.45 
02/03/2008,65540,110,($218.10)
02/03/2008,65550,110,($61.73)
02/03/2008,65590,110,($33.93)
02/03/2008,65600,110,($46.95)
02/03/2008,65690,110,($34.02)
02/03/2008,65700,110,($14.03)
02/03/2008,65710,110,($679.01)
02/03/2008,65730,110,($18.13)
02/03/2008,65740,110,($504.91)
02/03/2008,65750,110,($769.09)
02/03/2008,65760,110,($7.57)
02/03/2008,65900,170,($27.19)
02/03/2008,66010,130,($6.67)
02/03/2008,66020,130,($63.98)
02/03/2008,66030,130,($0.69)
02/03/2008,66040,130,($2.72)
02/03/2008,66050,130,($49.24)
02/03/2008,66070,130,($4.94)
02/03/2008,66080,130,($4.53)
02/03/2008,66100,130,($6.53)
02/03/2008,66110,130,($0.73)
02/03/2008,66120,130,($2.72)
02/03/2008,66130,130,($88.36)
02/03/2008,66510,140,($20.15)
02/03/2008,66520,140,($18.85)
02/03/2008,66530,140,($18.85)
02/03/2008,68050,170,($5.19)
02/04/2008,61510,150,($102.80)
02/04/2008,61520,150,($215.86)
02/04/2008,61530,150,($55.36)
02/04/2008,61540,150,($1.67)
02/04/2008,61550,150,($111.89)
02/04/2008,61560,150,($1.74)
02/04/2008,61570,150,($143.53)
02/04/2008,62010,150,($590.20)
02/04/2008,62020,150,($531.49)
02/04/2008,62099,150,$23.09 
02/04/2008,62510,120,($75.80)
02/04/2008,62520,120,($22.09)
02/04/2008,62530,120,($10.65)
02/04/2008,62550,120,($22.58)
02/04/2008,62560,120,($0.33)
02/04/2008,63050,150,($72.70)
02/04/2008,63060,150,$2.99 
02/04/2008,64000,150,$257.87 
02/04/2008,64010,150,$69.98 
02/04/2008,64020,150,$6.00 
02/04/2008,65540,110,($203.05)
02/04/2008,65550,110,($57.47)
02/04/2008,65590,110,($31.59)
02/04/2008,65600,110,($43.71)
02/04/2008,65690,110,($31.68)
02/04/2008,65700,110,($13.06)
02/04/2008,65710,110,($632.18)
02/04/2008,65730,110,($16.88)
02/04/2008,65740,110,($470.09)
02/04/2008,65750,110,($716.05)
02/04/2008,65760,110,($7.05)
02/04/2008,65900,170,($25.31)
02/04/2008,66010,130,($6.21)
02/04/2008,66020,130,($59.57)
02/04/2008,66030,130,($0.64)
02/04/2008,66040,130,($2.53)
02/04/2008,66050,130,($45.84)
02/04/2008,66070,130,($4.60)
02/04/2008,66080,130,($4.22)
02/04/2008,66100,130,($6.08)
02/04/2008,66110,130,($0.68)
02/04/2008,66120,130,($2.53)
02/04/2008,66130,130,($82.27)
02/04/2008,66510,140,($18.76)
02/04/2008,66520,140,($17.55)
02/04/2008,66530,140,($17.55)
02/04/2008,68050,170,($4.83)
02/05/2008,61510,150,($102.80)
02/05/2008,61520,150,($215.86)
02/05/2008,61530,150,($55.36)
02/05/2008,61540,150,($1.67)
02/05/2008,61550,150,($111.89)
02/05/2008,61560,150,($1.74)
02/05/2008,61570,150,($143.53)
02/05/2008,62010,150,($590.20)
02/05/2008,62020,150,($531.49)
02/05/2008,62099,150,$23.09 
02/05/2008,62510,120,($75.80)
02/05/2008,62520,120,($22.09)
02/05/2008,62530,120,($10.65)
02/05/2008,62550,120,($22.58)
02/05/2008,62560,120,($0.33)
02/05/2008,63050,150,($72.70)
02/05/2008,63060,150,$2.99 
02/05/2008,64000,150,$257.87 
02/05/2008,64010,150,$69.98 
02/05/2008,64020,150,$6.00 
02/05/2008,65540,110,($203.05)
02/05/2008,65550,110,($57.47)
02/05/2008,65590,110,($31.59)
02/05/2008,65600,110,($43.71)
02/05/2008,65690,110,($31.68)
02/05/2008,65700,110,($13.06)
02/05/2008,65710,110,($632.18)
02/05/2008,65730,110,($16.88)
02/05/2008,65740,110,($470.09)
02/05/2008,65750,110,($716.05)
02/05/2008,65760,110,($7.05)
02/05/2008,65900,170,($25.31)
02/05/2008,66010,130,($6.21)
02/05/2008,66020,130,($59.57)
02/05/2008,66030,130,($0.64)
02/05/2008,66040,130,($2.53)
02/05/2008,66050,130,($45.84)
02/05/2008,66070,130,($4.60)
02/05/2008,66080,130,($4.22)
02/05/2008,66100,130,($6.08)
02/05/2008,66110,130,($0.68)
02/05/2008,66120,130,($2.53)
02/05/2008,66130,130,($82.27)
02/05/2008,66510,140,($18.76)
02/05/2008,66520,140,($17.55)
02/05/2008,66530,140,($17.55)
02/05/2008,68050,170,($4.83)
02/06/2008,61510,150,($102.80)
02/06/2008,61520,150,($215.86)
02/06/2008,61530,150,($55.36)
02/06/2008,61540,150,($1.67)
02/06/2008,61550,150,($111.89)
02/06/2008,61560,150,($1.74)
02/06/2008,61570,150,($143.53)
02/06/2008,62010,150,($590.20)
02/06/2008,62020,150,($531.49)
02/06/2008,62099,150,$23.09 
02/06/2008,62510,120,($75.80)
02/06/2008,62520,120,($22.09)
02/06/2008,62530,120,($10.65)
02/06/2008,62550,120,($22.58)
02/06/2008,62560,120,($0.33)
02/06/2008,63050,150,($72.70)
02/06/2008,63060,150,$2.99 
02/06/2008,64000,150,$257.87 
02/06/2008,64010,150,$69.98 
02/06/2008,64020,150,$6.00 
02/06/2008,65540,110,($203.05)
02/06/2008,65550,110,($57.47)
02/06/2008,65590,110,($31.59)
02/06/2008,65600,110,($43.71)
02/06/2008,65690,110,($31.68)
02/06/2008,65700,110,($13.06)
02/06/2008,65710,110,($632.18)
02/06/2008,65730,110,($16.88)
02/06/2008,65740,110,($470.09)
02/06/2008,65750,110,($716.05)
02/06/2008,65760,110,($7.05)
02/06/2008,65900,170,($25.31)
02/06/2008,66010,130,($6.21)
02/06/2008,66020,130,($59.57)
02/06/2008,66030,130,($0.64)
02/06/2008,66040,130,($2.53)
02/06/2008,66050,130,($45.84)
02/06/2008,66070,130,($4.60)
02/06/2008,66080,130,($4.22)
02/06/2008,66100,130,($6.08)
02/06/2008,66110,130,($0.68)
02/06/2008,66120,130,($2.53)
02/06/2008,66130,130,($82.27)
02/06/2008,66510,140,($18.76)
02/06/2008,66520,140,($17.55)
02/06/2008,66530,140,($17.55)
02/06/2008,68050,170,($4.83)
02/07/2008,61510,150,($102.80)
02/07/2008,61520,150,($215.86)
02/07/2008,61530,150,($55.36)
02/07/2008,61540,150,($1.67)
02/07/2008,61550,150,($111.89)
02/07/2008,61560,150,($1.74)
02/07/2008,61570,150,($143.53)
02/07/2008,62010,150,($590.20)
02/07/2008,62020,150,($531.49)
02/07/2008,62099,150,$23.09 
02/07/2008,62510,120,($75.80)
02/07/2008,62520,120,($22.09)
02/07/2008,62530,120,($10.65)
02/07/2008,62550,120,($22.58)
02/07/2008,62560,120,($0.33)
02/07/2008,63050,150,($72.70)
02/07/2008,63060,150,$2.99 
02/07/2008,64000,150,$257.87 
02/07/2008,64010,150,$69.98 
02/07/2008,64020,150,$6.00 
02/07/2008,65540,110,($203.05)
02/07/2008,65550,110,($57.47)
02/07/2008,65590,110,($31.59)
02/07/2008,65600,110,($43.71)
02/07/2008,65690,110,($31.68)
02/07/2008,65700,110,($13.06)
02/07/2008,65710,110,($632.18)
02/07/2008,65730,110,($16.88)
02/07/2008,65740,110,($470.09)
02/07/2008,65750,110,($716.05)
02/07/2008,65760,110,($7.05)
02/07/2008,65900,170,($25.31)
02/07/2008,66010,130,($6.21)
02/07/2008,66020,130,($59.57)
02/07/2008,66030,130,($0.64)
02/07/2008,66040,130,($2.53)
02/07/2008,66050,130,($45.84)
02/07/2008,66070,130,($4.60)
02/07/2008,66080,130,($4.22)
02/07/2008,66100,130,($6.08)
02/07/2008,66110,130,($0.68)
02/07/2008,66120,130,($2.53)
02/07/2008,66130,130,($82.27)
02/07/2008,66510,140,($18.76)
02/07/2008,66520,140,($17.55)
02/07/2008,66530,140,($17.55)
02/07/2008,68050,170,($4.83)
02/07/2008,71010,120,$442.31 
02/07/2008,71020,120,$119.25 
02/07/2008,71030,120,$49.01 
02/07/2008,71050,120,$26.74 
02/07/2008,71060,120,$1.33 
02/07/2008,71070,120,($2.15)
02/07/2008,71160,150,$158.74 
02/07/2008,71170,150,$347.98 
02/07/2008,71180,150,($6.13)
02/07/2008,71190,150,($44.43)
02/07/2008,71200,150,$22.34 
02/07/2008,71240,150,$917.85 
02/07/2008,71299,150,($52.52)
02/07/2008,71310,150,"$2,814.82 "
02/07/2008,71325,150,($724.62)
02/07/2008,71550,150,$204.26 
02/07/2008,72010,110,"$1,529.25 "
02/07/2008,72020,110,"$3,068.56 "
02/07/2008,72050,140,$151.75 
02/07/2008,72060,150,"$3,205.07 "
02/07/2008,72070,150,"$4,383.54 "
02/07/2008,72090,150,"$1,158.93 "
02/07/2008,72110,160,"$2,794.88 "
02/07/2008,72120,160,"$2,608.52 "
02/07/2008,72140,160,"$1,028.31 "
02/07/2008,72150,165,"$1,496.60 "
02/07/2008,72160,170,"$1,353.63 "
02/07/2008,72340,110,$403.25 
02/07/2008,72999,150,($407.59)
02/07/2008,73010,110,$225.02 
02/07/2008,73010,140,$7.50 
02/07/2008,73010,150,$353.64 
02/07/2008,73010,160,$284.63 
02/07/2008,73010,165,$69.41 
02/07/2008,73010,170,$106.18 
02/07/2008,73020,110,$117.86 
02/07/2008,73020,140,$3.75 
02/07/2008,73020,150,$213.91 
02/07/2008,73020,160,$147.16 
02/07/2008,73020,165,$35.76 
02/07/2008,73020,170,$29.52 
02/07/2008,73030,110,$368.32 
02/07/2008,73030,150,$507.54 
02/07/2008,73030,160,$369.61 
02/07/2008,73030,165,$95.12 
02/07/2008,73030,170,$47.54 
02/07/2008,73040,110,$166.50 
02/07/2008,73040,150,$258.00 
02/07/2008,73040,160,$126.00 
02/07/2008,73040,165,$40.50 
02/07/2008,73050,110,($18.18)
02/07/2008,73050,140,$1.44 
02/07/2008,73050,150,($22.11)
02/07/2008,73050,160,($22.12)
02/07/2008,73050,165,($4.90)
02/07/2008,73050,170,($1.89)
02/07/2008,80990,110,"$1,109.94 "
02/07/2008,81010,110,$8.31 
02/07/2008,81050,160,$127.58 
02/07/2008,81090,160,$346.86 
02/07/2008,81100,160,$156.38 
02/07/2008,81110,160,$4.96 
02/07/2008,81120,160,$56.71 
02/07/2008,81130,160,$221.26 
02/07/2008,81150,160,$151.33 
02/07/2008,81180,160,$726.50 
02/07/2008,81200,160,$78.79 
02/07/2008,81210,160,$193.80 
02/07/2008,81220,160,$75.84 
02/07/2008,81230,160,$7.50 
02/07/2008,81250,160,$61.05 
02/07/2008,81270,160,$128.90 
02/07/2008,81280,160,$45.45 
02/07/2008,81310,160,$84.50 
02/07/2008,81350,160,$26.78 
02/07/2008,81900,165,$139.67 
02/07/2008,82030,130,$0.94 
02/07/2008,82040,130,$7.91 
02/07/2008,82050,140,$16.05 
02/07/2008,82050,150,$40.89 
02/07/2008,82060,170,"$1,172.07 "
02/07/2008,83010,170,$77.78 
02/07/2008,83020,130,$92.00 
02/07/2008,83020,160,$276.86 
02/07/2008,83020,170,$205.60 
02/07/2008,83030,150,$255.73 
02/07/2008,83050,170,$288.07 
02/07/2008,83060,170,$173.03 
02/07/2008,83070,170,$187.87 
02/07/2008,84020,130,$286.50 
02/07/2008,84020,170,$273.49 
02/07/2008,85010,170,$121.70 
02/07/2008,85510,170,$775.00 
02/07/2008,86010,110,$143.12 
02/07/2008,86010,150,$478.05 
02/07/2008,86010,160,$52.16 
02/07/2008,86010,165,$8.73 
02/07/2008,86010,170,$11.49 
02/07/2008,86020,110,$51.04 
02/07/2008,86020,130,$61.99 
02/07/2008,86020,150,$115.17 
02/07/2008,86030,110,$9.78 
02/07/2008,86040,110,$560.79 
02/07/2008,86040,150,$388.13 
02/07/2008,86050,110,$134.79 
02/07/2008,86050,150,$81.01 
02/07/2008,86050,160,$96.75 
02/07/2008,86090,160,$50.00 
02/07/2008,86100,110,$384.04 
02/07/2008,86100,150,$171.88 
02/07/2008,86100,160,$251.30 
02/07/2008,86100,170,$212.69 
02/07/2008,86150,110,$178.86 
02/07/2008,86180,110,$2.24 
02/07/2008,86180,140,$23.75 
02/07/2008,86200,160,$52.17 
02/07/2008,86270,150,$205.44 
02/07/2008,86290,150,$258.63 
02/07/2008,86310,150,$204.92 
02/07/2008,86330,150,$372.55 
02/07/2008,86340,150,$9.97 
02/07/2008,86350,150,$97.09 
02/07/2008,86360,150,"$1,204.67 "
02/07/2008,86450,170,$8.96 
02/08/2008,61510,150,($102.80)
02/08/2008,61520,150,($215.86)
02/08/2008,61530,150,($55.36)
02/08/2008,61540,150,($1.67)
02/08/2008,61550,150,($111.89)
02/08/2008,61560,150,($1.74)
02/08/2008,61570,150,($143.53)
02/08/2008,62010,150,($590.20)
02/08/2008,62020,150,($531.49)
02/08/2008,62099,150,$23.09 
02/08/2008,62510,120,($75.80)
02/08/2008,62520,120,($22.09)
02/08/2008,62530,120,($10.65)
02/08/2008,62550,120,($22.58)
02/08/2008,62560,120,($0.33)
02/08/2008,63050,150,($72.70)
02/08/2008,63060,150,$2.99 
02/08/2008,64000,150,$257.87 
02/08/2008,64010,150,$69.98 
02/08/2008,64020,150,$6.00 
02/08/2008,65540,110,($203.05)
02/08/2008,65550,110,($57.47)
02/08/2008,65590,110,($31.59)
02/08/2008,65600,110,($43.71)
02/08/2008,65690,110,($31.68)
02/08/2008,65700,110,($13.06)
02/08/2008,65710,110,($632.18)
02/08/2008,65730,110,($16.88)
02/08/2008,65740,110,($470.09)
02/08/2008,65750,110,($716.05)
02/08/2008,65760,110,($7.05)
02/08/2008,65900,170,($25.31)
02/08/2008,66010,130,($6.21)
02/08/2008,66020,130,($59.57)
02/08/2008,66030,130,($0.64)
02/08/2008,66040,130,($2.53)
02/08/2008,66050,130,($45.84)
02/08/2008,66070,130,($4.60)
02/08/2008,66080,130,($4.22)
02/08/2008,66100,130,($6.08)
02/08/2008,66110,130,($0.68)
02/08/2008,66120,130,($2.53)
02/08/2008,66130,130,($82.27)
02/08/2008,66510,140,($18.76)
02/08/2008,66520,140,($17.55)
02/08/2008,66530,140,($17.55)
02/08/2008,68050,170,($4.83)
02/09/2008,61510,150,($137.06)
02/09/2008,61520,150,($287.81)
02/09/2008,61530,150,($73.81)
02/09/2008,61540,150,($2.23)
02/09/2008,61550,150,($149.18)
02/09/2008,61560,150,($2.33)
02/09/2008,61570,150,($191.37)
02/09/2008,62010,150,($786.93)
02/09/2008,62020,150,($708.66)
02/09/2008,62099,150,$30.79 
02/09/2008,62510,120,($101.07)
02/09/2008,62520,120,($29.46)
02/09/2008,62530,120,($14.20)
02/09/2008,62550,120,($30.10)
02/09/2008,62560,120,($0.44)
02/09/2008,63050,150,($96.93)
02/09/2008,63060,150,$3.99 
02/09/2008,64000,150,$343.82 
02/09/2008,64010,150,$93.31 
02/09/2008,64020,150,$8.00 
02/09/2008,65540,110,($270.74)
02/09/2008,65550,110,($76.63)
02/09/2008,65590,110,($42.12)
02/09/2008,65600,110,($58.28)
02/09/2008,65690,110,($42.23)
02/09/2008,65700,110,($17.41)
02/09/2008,65710,110,($842.91)
02/09/2008,65730,110,($22.50)
02/09/2008,65740,110,($626.79)
02/09/2008,65750,110,($954.73)
02/09/2008,65760,110,($9.40)
02/09/2008,65900,170,($33.75)
02/09/2008,66010,130,($8.28)
02/09/2008,66020,130,($79.43)
02/09/2008,66030,130,($0.86)
02/09/2008,66040,130,($3.38)
02/09/2008,66050,130,($61.13)
02/09/2008,66070,130,($6.13)
02/09/2008,66080,130,($5.63)
02/09/2008,66100,130,($8.10)
02/09/2008,66110,130,($0.90)
02/09/2008,66120,130,($3.38)
02/09/2008,66130,130,($109.69)
02/09/2008,66510,140,($25.02)
02/09/2008,66520,140,($23.40)
02/09/2008,66530,140,($23.40)
02/09/2008,68050,170,($6.44)
02/10/2008,61510,150,($110.41)
02/10/2008,61520,150,($231.85)
02/10/2008,61530,150,($59.46)
02/10/2008,61540,150,($1.79)
02/10/2008,61550,150,($120.17)
02/10/2008,61560,150,($1.87)
02/10/2008,61570,150,($154.16)
02/10/2008,62010,150,($633.92)
02/10/2008,62020,150,($570.86)
02/10/2008,62099,150,$24.80 
02/10/2008,62510,120,($81.41)
02/10/2008,62520,120,($23.73)
02/10/2008,62530,120,($11.44)
02/10/2008,62550,120,($24.25)
02/10/2008,62560,120,($0.35)
02/10/2008,63050,150,($78.08)
02/10/2008,63060,150,$3.22 
02/10/2008,64000,150,$276.97 
02/10/2008,64010,150,$75.17 
02/10/2008,64020,150,$6.45 
02/10/2008,65540,110,($218.10)
02/10/2008,65550,110,($61.73)
02/10/2008,65590,110,($33.93)
02/10/2008,65600,110,($46.95)
02/10/2008,65690,110,($34.02)
02/10/2008,65700,110,($14.03)
02/10/2008,65710,110,($679.01)
02/10/2008,65730,110,($18.13)
02/10/2008,65740,110,($504.91)
02/10/2008,65750,110,($769.09)
02/10/2008,65760,110,($7.57)
02/10/2008,65900,170,($27.19)
02/10/2008,66010,130,($6.67)
02/10/2008,66020,130,($63.98)
02/10/2008,66030,130,($0.69)
02/10/2008,66040,130,($2.72)
02/10/2008,66050,130,($49.24)
02/10/2008,66070,130,($4.94)
02/10/2008,66080,130,($4.53)
02/10/2008,66100,130,($6.53)
02/10/2008,66110,130,($0.73)
02/10/2008,66120,130,($2.72)
02/10/2008,66130,130,($88.36)
02/10/2008,66510,140,($20.15)
02/10/2008,66520,140,($18.85)
02/10/2008,66530,140,($18.85)
02/10/2008,68050,170,($5.19)
02/11/2008,61510,150,($102.80)
02/11/2008,61520,150,($215.86)
02/11/2008,61530,150,($55.36)
02/11/2008,61540,150,($1.67)
02/11/2008,61550,150,($111.89)
02/11/2008,61560,150,($1.74)
02/11/2008,61570,150,($143.53)
02/11/2008,62010,150,($590.20)
02/11/2008,62020,150,($531.49)
02/11/2008,62099,150,$23.09 
02/11/2008,62510,120,($75.80)
02/11/2008,62520,120,($22.09)
02/11/2008,62530,120,($10.65)
02/11/2008,62550,120,($22.58)
02/11/2008,62560,120,($0.33)
02/11/2008,63050,150,($72.70)
02/11/2008,63060,150,$2.99 
02/11/2008,64000,150,$257.87 
02/11/2008,64010,150,$69.98 
02/11/2008,64020,150,$6.00 
02/11/2008,65540,110,($203.05)
02/11/2008,65550,110,($57.47)
02/11/2008,65590,110,($31.59)
02/11/2008,65600,110,($43.71)
02/11/2008,65690,110,($31.68)
02/11/2008,65700,110,($13.06)
02/11/2008,65710,110,($632.18)
02/11/2008,65730,110,($16.88)
02/11/2008,65740,110,($470.09)
02/11/2008,65750,110,($716.05)
02/11/2008,65760,110,($7.05)
02/11/2008,65900,170,($25.31)
02/11/2008,66010,130,($6.21)
02/11/2008,66020,130,($59.57)
02/11/2008,66030,130,($0.64)
02/11/2008,66040,130,($2.53)
02/11/2008,66050,130,($45.84)
02/11/2008,66070,130,($4.60)
02/11/2008,66080,130,($4.22)
02/11/2008,66100,130,($6.08)
02/11/2008,66110,130,($0.68)
02/11/2008,66120,130,($2.53)
02/11/2008,66130,130,($82.27)
02/11/2008,66510,140,($18.76)
02/11/2008,66520,140,($17.55)
02/11/2008,66530,140,($17.55)
02/11/2008,68050,170,($4.83)
02/12/2008,61510,150,($102.80)
02/12/2008,61520,150,($215.86)
02/12/2008,61530,150,($55.36)
02/12/2008,61540,150,($1.67)
02/12/2008,61550,150,($111.89)
02/12/2008,61560,150,($1.74)
02/12/2008,61570,150,($143.53)
02/12/2008,62010,150,($590.20)
02/12/2008,62020,150,($531.49)
02/12/2008,62099,150,$23.09 
02/12/2008,62510,120,($75.80)
02/12/2008,62520,120,($22.09)
02/12/2008,62530,120,($10.65)
02/12/2008,62550,120,($22.58)
02/12/2008,62560,120,($0.33)
02/12/2008,63050,150,($72.70)
02/12/2008,63060,150,$2.99 
02/12/2008,64000,150,$257.87 
02/12/2008,64010,150,$69.98 
02/12/2008,64020,150,$6.00 
02/12/2008,65540,110,($203.05)
02/12/2008,65550,110,($57.47)
02/12/2008,65590,110,($31.59)
02/12/2008,65600,110,($43.71)
02/12/2008,65690,110,($31.68)
02/12/2008,65700,110,($13.06)
02/12/2008,65710,110,($632.18)
02/12/2008,65730,110,($16.88)
02/12/2008,65740,110,($470.09)
02/12/2008,65750,110,($716.05)
02/12/2008,65760,110,($7.05)
02/12/2008,65900,170,($25.31)
02/12/2008,66010,130,($6.21)
02/12/2008,66020,130,($59.57)
02/12/2008,66030,130,($0.64)
02/12/2008,66040,130,($2.53)
02/12/2008,66050,130,($45.84)
02/12/2008,66070,130,($4.60)
02/12/2008,66080,130,($4.22)
02/12/2008,66100,130,($6.08)
02/12/2008,66110,130,($0.68)
02/12/2008,66120,130,($2.53)
02/12/2008,66130,130,($82.27)
02/12/2008,66510,140,($18.76)
02/12/2008,66520,140,($17.55)
02/12/2008,66530,140,($17.55)
02/12/2008,68050,170,($4.83)
Total,,,"$56,211.14 "
